date,adj_close_price
2002/1/2,27.65
2002/1/3,27.63
2002/1/4,28.44
2002/1/7,28.13
2002/1/8,27.47
2002/1/9,26.67
2002/1/10,27.28
2002/1/11,26.63
2002/1/14,26.17
2002/1/15,26.01
2002/1/16,26.06
2002/1/17,26.46
2002/1/18,26.05
2002/1/22,25.72
2002/1/23,26.05
2002/1/24,26.37
2002/1/25,27.06
2002/1/28,27.06
2002/1/29,27.05
2002/1/30,26.56
2002/1/31,27.04
2002/2/1,26.88
2002/2/4,26.06
2002/2/5,26.28
2002/2/6,25.86
2002/2/7,25.67
2002/2/8,26.62
2002/2/11,26.09
2002/2/12,25.55
2002/2/13,26.48
2002/2/14,26.43
2002/2/15,25.6
2002/2/19,25.19
2002/2/20,25.74
2002/2/21,25.68
2002/2/22,25.93
2002/2/25,26.13
2002/2/26,26.665
2002/2/27,26.7754
2002/2/28,27.3979
2002/3/1,28.2512
2002/3/4,28.8436
2002/3/5,29.205
2002/3/6,29.9379
2002/3/7,30.5302
2002/3/8,31.5944
2002/3/11,31.5944
2002/3/12,30.9117
2002/3/13,31.1226
2002/3/14,31.0121
2002/3/15,32.8192
2002/3/18,33.02
2002/3/19,32.7188
2002/3/20,32.6787
2002/3/21,32.3875
2002/3/22,32.4277
2002/3/25,31.8253
2002/3/26,32.1767
2002/3/27,32.759
2002/3/28,32.7791
2002/4/1,32.5682
2002/4/2,31.9558
2002/4/3,31.4037
2002/4/4,31.1226
2002/4/5,31.233
2002/4/8,31.3133
2002/4/9,31.8354
2002/4/10,33.1003
2002/4/11,32.5281
2002/4/12,32.5682
2002/4/15,32.4478
2002/4/16,32.8293
2002/4/17,32.7992
2002/4/18,32.1265
2002/4/19,32.257
2002/4/22,32.1265
2002/4/23,32.4277
2002/4/24,32.759
2002/4/25,32.7088
2002/4/26,32.2771
2002/4/29,32.2369
2002/4/30,33.4417
2002/5/1,34.7167
2002/5/2,33.773
2002/5/3,33.4818
2002/5/6,32.6787
2002/5/7,31.6747
2002/5/8,31.9257
2002/5/9,31.6848
2002/5/10,31.0523
2002/5/13,31.986
2002/5/14,32.4779
2002/5/15,32.749
2002/5/16,33.0401
2002/5/17,32.8092
2002/5/20,32.0161
2002/5/21,31.9358
2002/5/22,31.4739
2002/5/23,31.4037
2002/5/24,31.0724
2002/5/28,30.8816
2002/5/29,30.8364
2002/5/30,30.3529
2002/5/31,30.6249
2002/6/3,29.5671
2002/6/4,29.6175
2002/6/5,29.8794
2002/6/6,29.4865
2002/6/7,29.7484
2002/6/10,30.0708
2002/6/11,29.6578
2002/6/12,29.1641
2002/6/13,29.0433
2002/6/14,28.6604
2002/6/17,29.4059
2002/6/18,29.2951
2002/6/19,29.6578
2002/6/20,29.416
2002/6/21,29.2246
2002/6/24,28.7108
2002/6/25,28.0661
2002/6/26,27.6531
2002/6/27,27.9049
2002/6/28,27.8948
2002/7/1,27.3105
2002/7/2,26.9177
2002/7/3,27.3508
2002/7/5,28.4287
2002/7/8,28.3582
2002/7/9,28.0862
2002/7/10,26.8975
2002/7/11,27.2199
2002/7/12,27.3307
2002/7/15,26.6054
2002/7/16,26.4945
2002/7/17,26.4845
2002/7/18,26.4039
2002/7/19,25.4066
2002/7/22,24.2783
2002/7/23,23.7846
2002/7/24,25.6886
2002/7/25,25.336
2002/7/26,25.2152
2002/7/29,26.9479
2002/7/30,27.0486
2002/7/31,26.696
2002/8/1,25.8901
2002/8/2,24.1171
2002/8/5,23.6638
2002/8/6,24.4999
2002/8/7,24.6208
2002/8/8,25.4267
2002/8/9,25.1346
2002/8/12,25.4871
2002/8/13,24.6913
2002/8/14,25.1446
2002/8/15,25.9405
2002/8/16,25.7894
2002/8/19,26.6356
2002/8/20,25.9606
2002/8/21,26.1923
2002/8/22,26.9076
2002/8/23,26.5852
2002/8/26,26.5449
2002/8/27,26.0916
2002/8/28,25.2907
2002/8/29,24.6433
2002/8/30,24.7545
2002/9/3,23.6215
2002/9/4,24.2791
2002/9/5,23.7733
2002/9/6,24.4814
2002/9/9,24.5927
2002/9/10,25.493
2002/9/11,25.8977
2002/9/12,25.1187
2002/9/13,25.7156
2002/9/16,25.7156
2002/9/17,25.1895
2002/9/18,25.0378
2002/9/19,23.5709
2002/9/20,25.4728
2002/9/23,25.9988
2002/9/24,24.7849
2002/9/25,25.6954
2002/9/26,25.8977
2002/9/27,25.8977
2002/9/30,25.3919
2002/10/1,25.402
2002/10/2,24.5826
2002/10/3,24.4106
2002/10/4,23.9554
2002/10/7,22.5593
2002/10/8,24.0666
2002/10/9,23.1359
2002/10/10,23.1865
2002/10/11,24.7545
2002/10/14,24.2487
2002/10/15,24.5724
2002/10/16,24.3195
2002/10/17,24.6938
2002/10/18,24.8658
2002/10/21,25.665
2002/10/22,25.493
2002/10/23,26.3023
2002/10/24,25.9584
2002/10/25,27.6478
2002/10/28,26.9599
2002/10/29,27.1723
2002/10/30,26.9498
2002/10/31,26.4237
2002/11/1,27.405
2002/11/4,28.8011
2002/11/5,29.5598
2002/11/6,30.1061
2002/11/7,29.1551
2002/11/8,29.4788
2002/11/11,28.6493
2002/11/12,28.8112
2002/11/13,29.1147
2002/11/14,29.2259
2002/11/15,29.7318
2002/11/18,29.1147
2002/11/19,28.3661
2002/11/20,28.1536
2002/11/21,29.4283
2002/11/22,29.0438
2002/11/25,28.6999
2002/11/26,27.754
2002/11/27,28.6984
2002/11/29,28.4852
2002/12/2,28.0891
2002/12/3,27.3173
2002/12/4,27.7236
2002/12/5,27.2056
2002/12/6,27.3884
2002/12/9,26.4237
2002/12/10,26.6573
2002/12/11,26.8096
2002/12/12,26.7791
2002/12/13,26.3628
2002/12/16,26.8705
2002/12/17,26.7182
2002/12/18,26.8908
2002/12/19,25.8652
2002/12/20,25.9566
2002/12/23,25.459
2002/12/24,25.5097
2002/12/26,25.5097
2002/12/27,24.941
2002/12/30,25.1543
2002/12/31,25.3371
2003/1/2,26.0276
2003/1/3,26.4542
2003/1/6,26.1597
2003/1/7,26.1698
2003/1/8,25.5504
2003/1/9,25.2965
2003/1/10,25.3371
2003/1/13,25.2863
2003/1/14,25.3777
2003/1/15,25.3371
2003/1/16,25.5707
2003/1/17,25.53
2003/1/21,24.9309
2003/1/22,24.7887
2003/1/23,24.7989
2003/1/24,24.8801
2003/1/27,24.5755
2003/1/28,24.5247
2003/1/29,24.5755
2003/1/30,23.8951
2003/1/31,24.4739
2003/2/3,24.5755
2003/2/4,23.763
2003/2/5,23.7123
2003/2/6,23.5396
2003/2/7,23.3365
2003/2/10,23.2858
2003/2/11,23.2756
2003/2/12,23.2045
2003/2/13,22.4327
2003/2/14,23.6107
2003/2/18,23.8951
2003/2/19,23.6006
2003/2/20,24.0372
2003/2/21,24.22
2003/2/24,23.2959
2003/2/25,23.2451
2003/2/26,22.6409
2003/2/27,22.8246
2003/2/28,23.4368
2003/3/3,22.9674
2003/3/4,22.396
2003/3/5,22.3246
2003/3/6,21.8144
2003/3/7,22.3042
2003/3/10,21.6512
2003/3/11,21.2431
2003/3/12,21.1716
2003/3/13,22.5185
2003/3/14,22.6001
2003/3/17,23.9265
2003/3/18,24.3856
2003/3/19,24.9468
2003/3/20,25.1917
2003/3/21,27.2936
2003/3/24,25.508
2003/3/25,25.6508
2003/3/26,25.3039
2003/3/27,25.406
2003/3/28,25.0182
2003/3/31,24.5999
2003/4/1,24.304
2003/4/2,25.7733
2003/4/3,25.9671
2003/4/4,25.9161
2003/4/7,26.8344
2003/4/8,26.4773
2003/4/9,25.9365
2003/4/10,25.8753
2003/4/11,25.5182
2003/4/14,26.3753
2003/4/15,27.0181
2003/4/16,26.5385
2003/4/17,27.5588
2003/4/21,27.2527
2003/4/22,28.0792
2003/4/23,27.8445
2003/4/24,27.4976
2003/4/25,26.7222
2003/4/28,27.6711
2003/4/29,28.2629
2003/4/30,28.1506
2003/5/1,28.2221
2003/5/2,29.0485
2003/5/5,28.7424
2003/5/6,29.2832
2003/5/7,29.4158
2003/5/8,28.9975
2003/5/9,29.3342
2003/5/12,29.875
2003/5/13,29.7729
2003/5/14,29.6097
2003/5/15,30.3137
2003/5/16,30.3035
2003/5/19,29.7117
2003/5/20,29.5179
2003/5/21,29.2373
2003/5/22,29.6264
2003/5/23,29.5752
2003/5/27,29.8517
2003/5/28,30.6403
2003/5/29,30.8041
2003/5/30,31.3366
2003/6/2,31.8691
2003/6/3,31.7667
2003/6/4,32.4017
2003/6/5,32.6167
2003/6/6,32.2071
2003/6/9,32.0023
2003/6/10,31.5619
2003/6/11,32.5655
2003/6/12,33.2414
2003/6/13,32.883
2003/6/16,33.1287
2003/6/17,33.2516
2003/6/18,33.1287
2003/6/19,32.3095
2003/6/20,33.1697
2003/6/23,32.8318
2003/6/24,32.7806
2003/6/25,31.7462
2003/6/26,32.8318
2003/6/27,32.6474
2003/6/30,33.2926
2003/7/1,33.2107
2003/7/2,33.0673
2003/7/3,33.1083
2003/7/7,33.5179
2003/7/8,33.7739
2003/7/9,33.1083
2003/7/10,32.9035
2003/7/11,32.883
2003/7/14,32.7703
2003/7/15,32.7396
2003/7/16,32.3402
2003/7/17,31.8282
2003/7/18,32.2992
2003/7/21,32.6065
2003/7/22,33.6408
2003/7/23,33.4257
2003/7/24,33.3848
2003/7/25,33.7944
2003/7/28,34.4088
2003/7/29,34.8799
2003/7/30,34.5112
2003/7/31,35.1359
2003/8/1,35.0438
2003/8/4,34.9004
2003/8/5,34.3986
2003/8/6,34.8185
2003/8/7,35.054
2003/8/8,34.8287
2003/8/11,34.6853
2003/8/12,35.1359
2003/8/13,35.013
2003/8/14,35.5353
2003/8/15,35.7709
2003/8/18,36.3443
2003/8/19,36.457
2003/8/20,36.544
2003/8/21,36.7803
2003/8/22,36.3181
2003/8/25,35.9483
2003/8/26,35.6915
2003/8/27,35.1369
2003/8/28,35.1164
2003/8/29,35.5272
2003/9/2,35.2499
2003/9/3,35.8764
2003/9/4,35.5067
2003/9/5,35.4348
2003/9/8,35.4348
2003/9/9,34.9828
2003/9/10,34.3152
2003/9/11,34.459
2003/9/12,35.404
2003/9/15,35.8456
2003/9/16,36.164
2003/9/17,35.938
2003/9/18,36.2873
2003/9/19,36.051
2003/9/22,36.1024
2003/9/23,36.6776
2003/9/24,35.1985
2003/9/25,35.0958
2003/9/26,33.8017
2003/9/29,34.1304
2003/9/30,33.7811
2003/10/1,34.7774
2003/10/2,34.9109
2003/10/3,34.8082
2003/10/6,35.2499
2003/10/7,35.1677
2003/10/8,35.4142
2003/10/9,35.3321
2003/10/10,35.0034
2003/10/13,35.3012
2003/10/14,35.3218
2003/10/15,34.9828
2003/10/16,35.5375
2003/10/17,34.9623
2003/10/20,34.7466
2003/10/21,34.3769
2003/10/22,33.8941
2003/10/23,34.2844
2003/10/24,34.4488
2003/10/27,35.0753
2003/10/28,35.4861
2003/10/29,35.7737
2003/10/30,36.1229
2003/10/31,35.8559
2003/11/3,36.2564
2003/11/4,35.7429
2003/11/5,35.291
2003/11/6,35.7737
2003/11/7,36.3078
2003/11/10,36.1435
2003/11/11,35.9483
2003/11/12,36.5646
2003/11/13,36.77
2003/11/14,36.1435
2003/11/17,35.8353
2003/11/18,35.1369
2003/11/19,35.1729
2003/11/20,35.0492
2003/11/21,35.2141
2003/11/24,35.5337
2003/11/25,35.8223
2003/11/26,36.1625
2003/11/28,36.2759
2003/12/1,36.3893
2003/12/2,36.1006
2003/12/3,36.1728
2003/12/4,36.5954
2003/12/5,36.3377
2003/12/8,36.3893
2003/12/9,38.2036
2003/12/10,38.2139
2003/12/11,39.1932
2003/12/12,39.2138
2003/12/15,39.5952
2003/12/16,39.2138
2003/12/17,38.9355
2003/12/18,39.0386
2003/12/19,40.3271
2003/12/22,40.5746
2003/12/23,40.5539
2003/12/24,40.0797
2003/12/26,40.121
2003/12/29,40.5333
2003/12/30,40.4818
2003/12/31,40.956
2004/1/2,41.0487
2004/1/5,41.6776
2004/1/6,42.0074
2004/1/7,42.0899
2004/1/8,42.5126
2004/1/9,42.2961
2004/1/12,42.3064
2004/1/13,42.0796
2004/1/14,43.5847
2004/1/15,44.1929
2004/1/16,44.9969
2004/1/20,45.2546
2004/1/21,45.0485
2004/1/22,45.1413
2004/1/23,45.0485
